"","Date","diff","Team","Rk"
"127",2006-02-03,-17,"Los Angeles Clippers",16
"128",2006-02-04,-9,"Orlando Magic",23
"129",2006-02-06,-16,"Miami Heat",4
"130",2006-02-10,32,"Portland Trail Blazers",26
"131",2006-02-12,8,"Orlando Magic",23
"132",2006-02-15,-4,"Cleveland Cavaliers",15
"133",2006-02-21,20,"Utah Jazz",27
"134",2006-02-22,-9,"Phoenix Suns",2
"135",2006-02-24,6,"Portland Trail Blazers",26
"136",2006-02-26,1,"Los Angeles Lakers",22
"137",2006-03-01,-7,"Miami Heat",4
"138",2006-03-03,1,"Indiana Pacers",13
"139",2006-03-05,-6,"Toronto Raptors",19
"140",2006-03-07,1,"Washington Wizards",17
"141",2006-03-08,3,"Philadelphia 76ers",18
"142",2006-03-10,-6,"Milwaukee Bucks",25
"143",2006-03-12,5,"Denver Nuggets",10
"144",2006-03-14,-17,"Memphis Grizzlies",8
"145",2006-03-16,-3,"Miami Heat",4
"146",2006-03-17,-7,"Orlando Magic",23
"147",2006-03-19,15,"Indiana Pacers",13
"148",2006-03-20,-8,"Los Angeles Lakers",22
"149",2006-03-22,14,"Toronto Raptors",19
"150",2006-03-24,-12,"Cleveland Cavaliers",15
"151",2006-03-26,-4,"Chicago Bulls",12
"152",2006-03-29,25,"New York Knicks",24
"153",2006-04-01,-6,"Chicago Bulls",12
"154",2006-04-04,4,"Toronto Raptors",19
"155",2006-04-05,-17,"Washington Wizards",17
"156",2006-04-07,10,"Philadelphia 76ers",18
"157",2006-04-09,-15,"New York Knicks",24
"158",2006-04-12,-5,"Indiana Pacers",13
"159",2006-04-14,-5,"New Jersey Nets",21
"160",2006-04-16,-2,"New Jersey Nets",21
"161",2006-04-17,-5,"Cleveland Cavaliers",15
"162",2006-04-19,7,"Miami Heat",4
"163",2006-11-01,-4,"New Orleans/Oklahoma City Hornets",24
"164",2006-11-03,-13,"Detroit Pistons",2
"165",2006-11-04,-7,"Washington Wizards",11
"166",2006-11-08,2,"Charlotte Bobcats",27
"167",2006-11-10,-7,"Utah Jazz",23
"168",2006-11-11,-1,"Cleveland Cavaliers",8
"169",2006-11-13,-3,"Orlando Magic",18
"170",2006-11-15,26,"Indiana Pacers",10
"171",2006-11-17,28,"Portland Trail Blazers",30
"172",2006-11-18,4,"New York Knicks",29
"173",2006-11-22,-9,"Charlotte Bobcats",27
"174",2006-11-24,-24,"New York Knicks",29
"175",2006-11-25,13,"Milwaukee Bucks",17
"176",2006-11-29,-3,"New Jersey Nets",13
"177",2006-12-01,-4,"Toronto Raptors",25
