"","game.id","Date","team","div","conf","status","pts","diff","def.rank"
"57",29,"Sat, Nov 1, 2014","Detroit Pistons","Atlantic Division","East","h","90","-12","24"
"58",29,"Sat, Nov 1, 2014","Brooklyn Nets","Atlantic Division","East","v","102","12","20"
"59",30,"Sat, Nov 1, 2014","Golden State Warriors","Pacific Division","West","h","127","23","4"
"60",30,"Sat, Nov 1, 2014","Los Angeles Lakers","Atlantic Division","East","v","104","-23","25"
"61",31,"Sat, Nov 1, 2014","Houston Rockets","Atlantic Division","West","h","104","14","5"
"62",31,"Sat, Nov 1, 2014","Boston Celtics","Atlantic Division","East","v","90","-14","26"
"63",32,"Sat, Nov 1, 2014","Minnesota Timberwolves","Central Division","West","h","105","-1","10"
"64",32,"Sat, Nov 1, 2014","Chicago Bulls","Atlantic Division","East","v","106","1","14"
"65",33,"Sat, Nov 1, 2014","New Orleans Pelicans","Southwest Division","West","h","104","-5","21"
"66",33,"Sat, Nov 1, 2014","Dallas Mavericks","Atlantic Division","East","v","109","5","9"
"67",34,"Sat, Nov 1, 2014","Oklahoma City Thunder","Northwest Division","West","h","102","11","3"
"68",34,"Sat, Nov 1, 2014","Denver Nuggets","Atlantic Division","East","v","91","-11","19"
"69",35,"Sat, Nov 1, 2014","Orlando Magic","Atlantic Division","East","h","95","-13","27"
"70",35,"Sat, Nov 1, 2014","Toronto Raptors","Atlantic Division","East","v","108","13","12"
"71",36,"Sat, Nov 1, 2014","Philadelphia 76ers","Southeast Division","East","h","96","-18","30"
"72",36,"Sat, Nov 1, 2014","Miami Heat","Atlantic Division","East","v","114","18","6"
"73",37,"Sat, Nov 1, 2014","Utah Jazz","Pacific Division","West","h","118","27","28"
"74",37,"Sat, Nov 1, 2014","Phoenix Suns","Atlantic Division","East","v","91","-27","11"
"75",38,"Sat, Nov 1, 2014","Washington Wizards","Central Division","East","h","108","11","15"
"76",38,"Sat, Nov 1, 2014","Milwaukee Bucks","Atlantic Division","East","v","97","-11","29"
"77",39,"Sun, Nov 2, 2014","Los Angeles Clippers","Pacific Division","West","h","92","-6","2"
"78",39,"Sun, Nov 2, 2014","Sacramento Kings","Atlantic Division","East","v","98","6","22"
"79",40,"Sun, Nov 2, 2014","Miami Heat","Atlantic Division","East","h","107","5","6"
"80",40,"Sun, Nov 2, 2014","Toronto Raptors","Atlantic Division","East","v","102","-5","12"
"81",41,"Sun, Nov 2, 2014","New York Knicks","Southeast Division","East","h","96","3","18"
"82",41,"Sun, Nov 2, 2014","Charlotte Hornets","Atlantic Division","East","v","93","-3","17"
"83",42,"Sun, Nov 2, 2014","Portland Trail Blazers","Pacific Division","West","h","90","-5","7"
"84",42,"Sun, Nov 2, 2014","Golden State Warriors","Atlantic Division","East","v","95","5","4"
"85",43,"Mon, Nov 3, 2014","Brooklyn Nets","Northwest Division","East","h","116","31","20"
"86",43,"Mon, Nov 3, 2014","Oklahoma City Thunder","Atlantic Division","East","v","85","-31","3"
"87",44,"Mon, Nov 3, 2014","Dallas Mavericks","Atlantic Division","West","h","118","5","9"
"88",44,"Mon, Nov 3, 2014","Boston Celtics","Atlantic Division","East","v","113","-5","26"
"89",45,"Mon, Nov 3, 2014","Denver Nuggets","Pacific Division","West","h","105","-5","19"
"90",45,"Mon, Nov 3, 2014","Sacramento Kings","Atlantic Division","East","v","110","5","22"
"91",46,"Mon, Nov 3, 2014","Los Angeles Clippers","Northwest Division","West","h","107","6","2"
